Name,Drug Groups,SMILES,ChEMBL ID
DB00122,approved; nutraceutical,C[N+](C)(C)CCO,CHEMBL920
DB00123,approved; nutraceutical,NCCCC[C@H](N)C(O)=O,CHEMBL8085
DB00125,investigational; nutraceutical,N[C@@H](CCCNC(N)=N)C(O)=O,CHEMBL1485
DB00126,approved; nutraceutical,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CHEMBL196
DB00127,experimental; nutraceutical,NCCCNCCCCNCCCN,CHEMBL23194
DB00128,approved; nutraceutical,N[C@@H](CC(O)=O)C(O)=O,CHEMBL274323
DB00129,approved; nutraceutical,NCCC[C@H](N)C(O)=O,CHEMBL446143
DB00130,approved; investigational; nutraceutical,N[C@@H](CCC(N)=O)C(O)=O,CHEMBL930
DB00131,approved; investigational; nutraceutical; withdrawn,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,CHEMBL752
DB00132,approved; investigational; nutraceutical,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,CHEMBL8739
DB00133,investigational; nutraceutical,N[C@@H](CO)C(O)=O,CHEMBL11298
DB00134,approved; nutraceutical,CSCC[C@H](N)C(O)=O,CHEMBL42336
DB00135,approved; investigational; nutraceutical,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,CHEMBL925
DB00136,approved; nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,CHEMBL846
DB00137,approved; investigational; nutraceutical,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,CHEMBL173929
DB00138,approved; nutraceutical,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,CHEMBL590540
DB00139,approved; nutraceutical,OC(=O)CCC(O)=O,CHEMBL576
DB00140,approved; investigational; nutraceutical; vet_approved,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,CHEMBL1534
DB00141,approved; investigational; nutraceutical,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,CHEMBL4303483
DB00142,approved; nutraceutical,N[C@@H](CCC(O)=O)C(O)=O,CHEMBL575060
DB00143,approved; investigational; nutraceutical,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,CHEMBL1543
DB00144,investigational; nutraceutical,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC,CHEMBL4297669
DB00145,approved; nutraceutical; vet_approved,NCC(O)=O,CHEMBL773
DB00146,approved; nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,CHEMBL1040
DB00147,experimental; nutraceutical,CC1=NC=C(CO)C(C=O)=C1O,CHEMBL102970
DB00148,approved; investigational; nutraceutical,CN(CC(O)=O)C(N)=N,CHEMBL283800
DB00149,investigational; nutraceutical,CC(C)C[C@H](N)C(O)=O,CHEMBL291962
DB00150,approved; nutraceutical; withdrawn,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,CHEMBL54976
DB00151,approved; nutraceutical,N[C@@H](CS)C(O)=O,CHEMBL863
DB00152,approved; investigational; nutraceutical; vet_approved,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,CHEMBL1547
DB00153,approved; nutraceutical,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,CHEMBL1536
DB00154,investigational; nutraceutical,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,CHEMBL465183
DB00155,investigational; nutraceutical,N[C@@H](CCCNC(N)=O)C(O)=O,CHEMBL444814
DB00156,approved; nutraceutical,C[C@@H](O)[C@H](N)C(O)=O,CHEMBL291747
DB00157,approved; nutraceutical,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,CHEMBL1234616
DB00158,approved; nutraceutical; vet_approved,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,CHEMBL1622
DB00159,approved; nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,CHEMBL460026
DB00160,nutraceutical,C[C@H](N)C(O)=O,CHEMBL279597
DB00161,approved; nutraceutical,CC(C)[C@H](N)C(O)=O,CHEMBL43068
DB00162,approved; nutraceutical; vet_approved,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,CHEMBL986
DB00163,approved; nutraceutical; vet_approved,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,CHEMBL47
DB00165,approved; investigational; nutraceutical; vet_approved,CC1=C(O)C(CO)=C(CO)C=N1,CHEMBL1364
DB00166,approved; investigational; nutraceutical,OC(=O)CCCC[C@@H]1CCSS1,CHEMBL134342
DB00167,investigational; nutraceutical,CC[C@H](C)[C@H](N)C(O)=O,CHEMBL1233584
DB00168,investigational; nutraceutical,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,CHEMBL171679
DB00169,approved; nutraceutical,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,CHEMBL1042
DB00170,approved; nutraceutical,CC1=CC(=O)C2=CC=CC=C2C1=O,CHEMBL590
DB00171,investigational; nutraceutical,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,CHEMBL14249
DB00172,nutraceutical,OC(=O)[C@@H]1CCCN1,CHEMBL54922
DB00173,approved; nutraceutical,NC1=C2NC=NC2=NC=N1,CHEMBL226345
DB00174,approved; investigational; nutraceutical,N[C@@H](CC(N)=O)C(O)=O,CHEMBL58832
DB00175,approved,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,CHEMBL1144
DB00176,approved; investigational,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,CHEMBL814
DB00177,approved; investigational,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,CHEMBL1069
DB00178,approved,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,CHEMBL1168
DB00179,approved; investigational,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,CHEMBL313972
DB00180,approved; investigational,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,CHEMBL1512
DB00181,approved,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,CHEMBL701
DB00182,approved; illicit; investigational,CC(N)CC1=CC=CC=C1,CHEMBL405
DB00183,approved,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,CHEMBL1328
DB00184,approved,CN1CCC[C@H]1C1=CN=CC=C1,CHEMBL3
DB00185,approved,CC1O[C@@]2(CS1)CN1CCC2CC1,
DB00186,approved,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,CHEMBL580
DB00187,approved; withdrawn,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,CHEMBL768
DB00188,approved; investigational,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,CHEMBL325041
DB00189,approved; illicit; withdrawn,CCC(O)(\C=C\Cl)C#C,CHEMBL591
DB00190,approved,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,CHEMBL1201236
DB00191,approved; illicit,CC(C)(N)CC1=CC=CC=C1,CHEMBL1574
DB00192,approved,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,CHEMBL1201242
DB00193,approved; investigational,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,CHEMBL1237044
DB00194,approved; investigational,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,CHEMBL1090
DB00195,approved; investigational,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,CHEMBL423
DB00196,approved; investigational,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,CHEMBL106
DB00197,approved; investigational; withdrawn,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,CHEMBL408
DB00198,approved,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229
DB00199,approved; investigational; vet_approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL532
DB00200,approved,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],CHEMBL2103737
DB00201,approved,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,CHEMBL113
DB00202,approved,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,CHEMBL703
DB00203,approved; investigational,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,CHEMBL192
DB00204,approved; investigational,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,CHEMBL473
DB00205,approved; investigational; vet_approved,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,CHEMBL36
DB00206,approved; investigational; withdrawn,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,CHEMBL772
DB00207,approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL529
DB00208,approved,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,CHEMBL833
DB00209,approved,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,CHEMBL1888176
DB00210,approved,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,CHEMBL1265
DB00211,approved,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,CHEMBL1201212
DB00212,experimental,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,CHEMBL31601
DB00213,approved,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,CHEMBL1502
DB00214,approved,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,CHEMBL1148
DB00215,approved,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,CHEMBL549
DB00216,approved; investigational,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,CHEMBL1510
DB00217,approved,CN\C(NCC1=CC=CC=C1)=N/C,CHEMBL1201260
DB00218,approved; investigational,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,CHEMBL32
DB00219,approved,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,CHEMBL1201286
DB00220,approved,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,CHEMBL584
DB00221,approved,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,CHEMBL1201213
DB00222,approved,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,CHEMBL1481
DB00223,approved,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,CHEMBL1201380
DB00224,approved,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,CHEMBL115
DB00225,approved; investigational,[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O,
DB00226,approved,NC(N)=NCC1COC2(CCCCC2)O1,CHEMBL1037
DB00227,approved; investigational,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,CHEMBL503
DB00228,approved; investigational; vet_approved,FC(F)OC(F)(F)C(F)Cl,CHEMBL1257
DB00229,approved; investigational,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,CHEMBL1296
DB00230,approved; investigational,CC(C)C[C@H](CN)CC(O)=O,CHEMBL1059
DB00231,approved; investigational,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,CHEMBL967
DB00232,withdrawn,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,CHEMBL1577
DB00233,approved,NC1=CC(O)=C(C=C1)C(O)=O,CHEMBL1169
DB00234,approved; experimental,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,CHEMBL383921
DB00235,approved,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,CHEMBL189
DB00236,approved,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,CHEMBL1585
DB00237,approved; illicit,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL449
DB00238,approved,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,CHEMBL57
DB00239,approved,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,CHEMBL1262
DB00240,approved,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,CHEMBL1201361
DB00241,approved; illicit,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,CHEMBL454
DB00242,approved; investigational,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,CHEMBL1619
DB00243,approved; investigational,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,CHEMBL1404
DB00244,approved,NC1=CC(C(O)=O)=C(O)C=C1,CHEMBL704
DB00245,approved,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,CHEMBL1201203
DB00246,approved,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,CHEMBL708
DB00247,approved,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,CHEMBL485253
DB00248,approved,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,CHEMBL1201087
DB00249,approved; investigational,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,CHEMBL788
DB00250,approved; investigational,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,CHEMBL1043
DB00251,approved,CC(C)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,CHEMBL1410669
DB00252,approved; vet_approved,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,CHEMBL16
DB00253,approved,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,CHEMBL1201173
DB00254,approved; investigational; vet_approved,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,CHEMBL1433
DB00255,approved; investigational; withdrawn,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,CHEMBL411
DB00256,approved; investigational,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,CHEMBL2103929
DB00257,approved; vet_approved,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CHEMBL104
DB00258,approved; investigational,[Ca++].CC([O-])=O.CC([O-])=O,CHEMBL1200800
DB00259,approved,NC1=CC=C(C=C1)S(N)(=O)=O,CHEMBL21
DB00260,approved,N[C@@H]1CONC1=O,CHEMBL771
DB00261,approved,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,CHEMBL760
DB00262,approved; investigational,ClCCNC(=O)N(CCCl)N=O,CHEMBL513
DB00263,approved; vet_approved,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,CHEMBL453
DB00264,approved; investigational,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,CHEMBL13
DB00265,approved,CCN(C(=O)C=CC)C1=CC=CC=C1C,CHEMBL1200709
DB00266,approved,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,CHEMBL1466
DB00267,approved,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,CHEMBL1201224
DB00268,approved; investigational,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,CHEMBL589
DB00269,investigational; withdrawn,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,CHEMBL1200761
DB00270,approved; investigational,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,CHEMBL1648
DB00271,approved; vet_approved,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,CHEMBL1201220
DB00272,approved,NCCC1=CC=NN1,CHEMBL1201323
